Date,Business Activity NSA,Business Activity SA,New Sales Orders NSA,New Sales Orders SA,Backlog of Sales Orders NSA,Inventories NSA,Inventories SA,Suppliers Performance NSA (not inverted),Suppliers Performance SA (inverted),Prices NSA,Employment NSA,Employment SA,Purchasing Commitments NSA,Exp. Business Conditions NSA,PMI NSA,PMI SA
30/06/2022,41.74757282,45.31248186,41.8,46.35987694,39.9,48.1,53.23944367,31.6,63.90469462,89.8,46.6,51.29888762,45.7,53.8,49.3,52.02307694
31/05/2022,50,48.49809628,56.3,55.32567647,41.9,57,60.19782382,39.1,58.01825289,88.1,50,50.44254478,53.1,63.3,54.9,54.49647885
30/04/2022,35.8490566,43.26791773,40.6,46.67919726,40.6,51.9,56.60574002,35.8,63.45786056,89.6,49,51.4427363,50,55.7,48.3,52.29069037
31/03/2022,58.16326531,58.73390019,57.1,59.11706563,41.8,63.3,60.18114149,31.6,64.87322697,95.9,49,49.94998334,58.2,55.1,59.2,58.57106352
28/02/2022,60.15625,58.45400719,56.3,57.36511799,44.5,61.9,59.47255382,35.7,66.4476757,89.8,50.8,49.44618074,58.6,69.5,58.7,58.23710709
31/01/2022,46.2962963,56.7303247,50.9,56.43654639,35.8,55.6,58.95123803,33.3,66.39429651,88.9,47.2,48.39413735,56.5,71.3,53.3,57.3813086
31/12/2021,43.87755102,50.54265017,46.875,53.4925106,35.41666667,56.12244898,56.33284256,30.6122449,69.48958716,89.79591837,41.66666667,42.02219833,54.16666667,53.06122449,51.58588435,54.37595776
30/11/2021,65.57377049,53.18172292,65.6,54.33247051,52.5,62.3,56.05316393,29.5,70.34104019,86.7,56.6,49.94408206,65,56.8,64.1,56.77049592
31/10/2021,52.41935484,45.69545646,55.7,46.88821359,53.2,59.7,56.32056548,29,71.03153924,84.4,52.5,47.67202006,59,62.1,58.3,53.52155897
30/09/2021,54.38596491,51.46717036,57.9,53.3749934,42.1,51.8,50.49052006,28.9,72.71706646,85.5,48.2,47.04343339,53.5,62.3,56.7,55.01863674
31/08/2021,54.03225806,52.03864481,56.6,52.51764932,41.8,55.8,53.92500818,32.8,69.88189139,84.2,47.6,48.53582734,54.9,59.7,56.2,55.37980421
31/07/2021,26.5625,25.98564361,31.25,34.13297761,35.15625,37.5,38.89272187,28.125,74.30187298,77.04918033,46.875,50.1872985,40.625,64.28571429,42.8125,44.70010292
30/06/2021,50.66666667,55.04739031,52,57.51328179,42,50.7,55.74791778,29.9,66.25622525,83.6,47.3,52.16102946,53.3,59.3,54.2,57.34516892
31/05/2021,59.52380952,57.59578435,59.5,58.72153276,45.2,60.3,63.2513368,38.7,58.45981406,87.1,50.8,51.11399838,64.3,63.5,58.3,57.82849327
30/04/2021,50.74626866,60.66545059,56.2,63.5657632,40.9,53,57.41549092,37.1,62.19611644,88.3,53,55.549152,54.5,67.9,55.2,59.87839463
31/03/2021,55.69620253,55.80631354,58.3,60.50630898,41,57.6,55.13874375,29.7,67.28022574,89,46.2,46.79624934,51.9,57,57.6,57.10556827
28/02/2021,54.22535211,52.36131713,57.1,57.5182711,42.3,55,52.78370338,37.9,64.14904745,83.1,44.4,43.20851978,52.1,59.2,54.6,54.00417177
31/01/2021,37.5,45.63511693,44.4,48.69524346,34,45.2,47.81262126,30.8,68.9403608,82.6,45.1,46.31391834,46.6,59.2,48.3,51.47945216
31/12/2020,42.95774648,48.90811823,45,50.85196943,42.8,49.3,49.94916139,35.9,64.17541622,70.4,44.4,44.8095332,50,52.9,49.1,51.73883969
30/11/2020,63.69863014,51.84996289,60.4,49.81032908,45.1,54.8,49.62298483,36.3,63.39168849,72.5,50.7,45.03039548,55.6,52.7,58.7,51.94107216
31/10/2020,67.64705882,59.49845674,72,61.79586384,54.6,63.2,59.87728168,36.8,63.69989126,82.1,50.7,46.4130507,65.4,56.7,63.4,58.25690884
30/09/2020,65.43209877,61.69723621,68.5,63.97502703,49.4,53.6,52.17772974,41,61.47321457,76.3,44.5,43.73410111,59,64.5,58.22268296,56.61146173
31/08/2020,59.75609756,58.42658497,61,58.61886626,45.1,47.6,45.96600875,38.1,64.55328233,73.4,39,39.75519054,50.6,63.4,53.83841463,53.46398657
31/07/2020,57.55813953,57.03059085,50.6,53.98591904,35.5,40.7,42.51066682,39.5,63.24485076,72.4,33.1,35.09530095,43,51.8,48.48837209,50.37346568
30/06/2020,57.64705882,62.55680353,54.2,59.8156204,34.5,47.6,51.54901976,38.1,57.97257427,75.3,30.4,33.47607678,37.5,51.2,50.34453782,53.07401895
31/05/2020,43.67088608,42.06681878,40.5,40.31446106,32.5,34,35.26559949,25.7,72.45681565,73.4,27.6,27.59028392,29.9,47.5,44.0115564,43.53879578
30/04/2020,5.46875,6.512864516,8.9,9.815912913,27.3,19.8,21.33164215,10.5,89.31141303,71.4,26.2,27.36127908,11.9,27.3,29.98532496,30.86662234
31/03/2020,32.14285714,31.90329008,33,34.26512213,25,37.5,36.12268627,33,64.39093584,71.4,40.7,40.7387789,32.1,29.1,42.07671958,41.48416264
29/02/2020,35.52631579,34.29970159,34.7,34.15235236,28.4,37.3,35.7860001,41.3,60.3543902,68,37.3,36.44239954,33.3,38.7,40.70526316,40.20696876
31/01/2020,38.70967742,46.92282058,40.2,43.77700566,28,41.4,43.65669581,48.9,50.56530136,69.8,35.3,36.43362231,38.7,42.5,41.34759233,44.27108914
31/12/2019,34.67741935,38.8500876,36.3,40.19047077,38.7,41.9,43.13815945,42.7,57.31599793,65.8,42.7,43.25466495,38.7,45.9,42.58064516,44.54987614
30/11/2019,47.93814433,39.16652243,51.6,42.43144754,40.95744681,45.4,41.56465114,43.8,55.80844664,63.29787234,44.3,39.81023713,44.32989691,47.39583333,49.07646048,43.75626098
31/10/2019,48.17073171,42.6507697,47.5,41.69949514,39.61038961,42.1,39.98770558,45.1,55.95239712,68.98734177,43.2,40.0045216,45.0617284,45.73170732,47.16003644,44.05897783
30/09/2019,42.04545455,39.39336735,41.5,39.20551566,32,40.9,39.45626361,51.1,52.02517626,76.70454545,40.4,39.85202129,41.5,46.1,42.75153218,41.98646883
31/08/2019,42.63157895,42.08099354,43,43.27612448,35.9,45.2,44.03148559,51.6,51.13727289,73.62637363,39.7,40.16154377,41.5,47.3,43.77635806,44.13748405
31/07/2019,50.43859649,50.71883409,50,52.40522332,41.8,49.1,51.39804729,48.6,53.95818426,67.88990826,41.7,43.69342799,44.1,54.5,48.52479524,50.43474339
30/06/2019,40.32258065,43.84393133,41.8,46.05895944,32.8,42.5,45.00093884,43.1,53.68830234,69.60784314,38.9,42.90394929,37.8,55.6,44.07758802,46.29921625
31/05/2019,43.84615385,42.32929384,43.8,43.88705086,35.9,43,44.01190436,43.1,53.85779288,67.69230769,43.8,43.71710428,45.3,62.3,46.28605769,45.56062924
30/04/2019,50,58.90356521,45.9,50.06213153,33.6,43.3,46.08624797,45.1,53.86805393,72.13114754,41,42.47983331,40.8,62.3,47.0273224,50.27996639
31/03/2019,44.11764706,43.47808582,44.9,46.09411645,37.3,50,48.52455342,45.6,52.20317702,74.26470588,44.1,43.50788497,41.5,59.6,47.5,46.76156353
28/02/2019,44.92753623,43.45592547,47.1,45.30500556,43.4,52.9,51.03829576,47.1,54.14874219,69.56521739,47.8,46.80969782,50,65.9,49.13256607,48.15153336
31/01/2019,41.66666667,50.47202226,46.3,50.11968245,34.1,44.8,47.01322604,46.3,53.11251683,70.89552239,44.8,46.59256269,41.8,67.2,46.24378109,49.46200206
31/12/2018,51.47058824,56.68136704,52.2,56.39418417,39,44.9,46.74216362,45.6,54.35486009,72.46376812,40.6,40.95168681,42.8,51.4,48.71909633,51.02485235
30/11/2018,58.57142857,47.91406585,58,47.87125119,43.5,52.1,48.48190499,44.2,55.2903036,78.57142857,47.1,42.96525886,54.3,48.6,54.32505176,48.5045569
31/10/2018,43.75,39.02176031,43.8,39.19401311,36.6,44.4,42.20234849,50,51.52424247,84.72222222,45.8,43.02509742,43.8,41.7,45.54381847,42.99349236
30/09/2018,42.95774648,39.88403029,43,41.08602961,34.3,50.7,48.81760696,47.2,55.77829978,85.91549296,44.3,43.70420855,42.8,45.8,46.7444668,45.85403504
31/08/2018,36.48648649,36.3338691,39.2,41.07557022,35.6,49.3,48.58416913,46.6,55.04632957,79.72972973,45.9,46.24885971,40.4,44.6,44.8630137,45.45775955
31/07/2018,43.42105263,44.27958933,45.4,47.30086254,36,46.7,48.81700025,46.7,54.92363198,83.55263158,48,49.74196305,44.6,48.7,47.36842105,49.01260943
30/06/2018,41.42857143,45.29391598,45,49.41293713,35.7,46.4,48.29616931,48.6,49.27149374,73.57142857,42.9,46.955432,45,55.7,45.42857143,47.84598963
31/05/2018,47.22222222,45.90141959,50.7,50.86822807,39.6,50,50.45139178,47.2,49.85974502,65.49295775,49.3,48.94173438,45,65.3,50.00782473,49.20450377
30/04/2018,47.97297297,55.51520072,50.7,54.96230165,37.8,46.6,49.06159012,50,48.57337199,66.89189189,47.3,48.89080921,48,69.6,48.51536468,51.40065474
31/03/2018,48.7012987,47.90185512,46.8,47.14468281,35.1,42.9,41.77996379,48,51.1321193,60.66666667,50,48.86025452,44.8,73.7,48.0570745,47.36377511
28/02/2018,55.76923077,53.95843406,56.3,53.22670423,37.8,44.9,43.60365752,47.4,53.12461915,59.61538462,45.6,44.79695216,54.5,79.1,51.03375527,49.74207342
31/01/2018,41.97530864,50.84369232,45.7,49.49288616,41.3,43.8,45.96941508,46.9,52.47466412,70.37037037,42.6,44.71835867,45.6,72.8,45.43981481,48.69980327
31/12/2017,41.97530864,45.20907362,44.4,46.75980094,38.3,40,42.08146282,46.9,52.65715906,75.30864198,45.1,45.33687383,46.3,61.9,44.91358025,46.40887405
30/11/2017,56.62650602,46.37911208,56.6,47.04373382,42.8,46.4,43.49496634,42.2,57.3102125,80.72289157,49.4,45.4968861,47,50,53.37349398,47.94498217
31/10/2017,50.6097561,45.39183702,55.48780488,50.47414715,41.46341463,51.82926829,49.21912498,48.7654321,52.97050684,73.17073171,47.56097561,45.37252294,48.14814815,51.2345679,51.34447456,48.68562779
30/09/2017,48.21428571,44.49074262,47.02380952,45.18984302,39.28571429,49.4047619,47.50626969,51.19047619,51.7657297,71.42857143,45.83333333,44.9637481,45.23809524,52.38095238,47.85714286,46.78326663
31/08/2017,40.90909091,41.1396643,40.90909091,43.76366534,35.79545455,46.59090909,46.53614371,48.86363636,51.94717688,67.24137931,46.59090909,46.638757,40.34090909,46.59090909,45.22727273,46.00508145
31/07/2017,34.375,35.57925763,35,37.05594372,31.875,43.75,45.47793214,49.36708861,51.59391345,61.25,41.875,43.15433322,36.25,51.25,41.12658228,42.57227603
30/06/2017,40,44.17701478,39.41176471,43.17474113,28.82352941,45.88235294,47.39264233,47.64705882,51.34063892,61.30952381,42.94117647,46.72934226,39.41176471,50,44.11764706,46.56287588
31/05/2017,51.19047619,50.20436875,51.78571429,51.72979801,35.11904762,48.79518072,48.5804377,48.21428571,49.62782624,68.29268293,47.02380952,46.56330724,44.04761905,61.44578313,50.116179,49.34114759
30/04/2017,36.70886076,41.64506505,41.13924051,44.81541397,30.12820513,41.13924051,42.69020777,45.56962025,53.00365848,69.87179487,46.83544304,48.45422922,35.8974359,55.76923077,44.05063291,46.1217149
31/03/2017,54.59770115,53.50440404,53.44827586,52.8032921,38.37209302,52.87356322,51.76192397,50.57471264,49.71588844,63.52941176,50.57471264,49.27150894,50.58823529,68.02325581,52.18390805,51.4114035
28/02/2017,53.88888889,51.88171482,57.86516854,53.95707296,42.13483146,52.24719101,51.33606228,47.77777778,52.3163099,67.97752809,47.75280899,47.10319421,51.66666667,67.77777778,52.79525593,51.31887083
31/01/2017,41.95402299,50.62286702,45.93023256,50.10300496,33.72093023,47.09302326,49.36227715,48.25581395,51.3355292,72.35294118,45.34883721,48.02186171,44.18604651,70.34883721,46.41406041,49.88910801
31/12/2016,46.875,49.22531469,50.625,52.21716592,39.24050633,44.30379747,46.84902122,55.06329114,43.71174065,63.92405063,47.46835443,47.58040379,42.30769231,56.875,46.84177215,47.91672925
30/11/2016,58.33333333,47.97250356,59.44444444,49.98539239,38.76404494,50,46.93980465,50,49.18553953,65.55555556,50.55555556,46.65718017,50,53.88888889,53.66666667,48.14808406
31/10/2016,48.9010989,44.18408389,49.45054945,45.26758999,33.51648352,50.54945055,47.65400714,48.35164835,53.38814233,59.44444444,48.35164835,46.38090868,46.7032967,50.56179775,49.78021978,47.3749464
30/09/2016,53.06122449,48.95073737,51.53061224,49.36102444,40.10416667,49.48979592,47.75877657,49.48979592,52.90602751,59.69387755,51.03092784,49.77064258,51.53061224,63.7755102,51.12455291,49.7494417
31/08/2016,44.50549451,45.47780938,42.85714286,45.5468162,34.61538462,45.6043956,45.75618686,47.25274725,52.7256481,64.83516484,50,49.82671953,46.15384615,61.53846154,47.14285714,47.86663601
31/07/2016,43.68421053,45.91371707,47.34042553,51.47340195,35.86956522,48.94736842,50.97609215,48.42105263,52.20806459,72.10526316,48.92473118,50.61595029,44.73684211,58.94736842,48.09513661,50.23744521
30/06/2016,47.14285714,52.32245864,48.07692308,52.74743835,38.46153846,50.96153846,52.90468619,46.66666667,53.12325113,81.42857143,45.19230769,48.86268577,50,52.88461538,48.94139194,51.99210402
31/05/2016,51.7699115,51.02891268,49.55752212,49.47678551,33.18584071,50.88495575,50.36089228,45.13274336,53.83104794,80.08849558,48.2300885,47.65760589,46.875,54.05405405,51.0619469,50.47104886
30/04/2016,54.45544554,60.67001864,54.5,59.74362992,37.62376238,52.97029703,54.51795248,47.02970297,51.38066893,77.72277228,46.53465347,48.48968596,50.4950495,55.94059406,52.28613861,54.96039119
31/03/2016,50,48.64912776,53.72340426,52.13711071,36.17021277,51.59574468,50.38549145,47.87234043,53.1361901,87.76595745,46.80851064,45.84801379,48.40425532,51.08695652,50.85106383,50.03118676
29/02/2016,45.40816327,43.5500087,50.51020408,46.72463873,32.8125,47.91666667,47.39040101,46.39175258,53.61876669,90.72164948,46.90721649,46.21829974,40.72164948,44.84536082,48.87009959,47.50042297
31/01/2016,30.33707865,36.51088412,37.22222222,41.09424597,28.88888889,42.69662921,44.88452136,45.50561798,54.47636024,85.95505618,42.77777778,45.56895253,39.3258427,39.44444444,41.50561798,44.50699284
31/12/2015,43.95604396,45.05009733,45,45.8218756,34.83146067,48.35164835,51.05376509,47.22222222,50.89845304,77.22222222,47.19101124,47.18160386,41.66666667,46.06741573,47.45529626,48.00115898
30/11/2015,50.29761905,41.5348549,50.89820359,43.37652663,38.55421687,51.49700599,48.01613063,48.51190476,50.41506248,75.1497006,46.40718563,42.59517557,48.19277108,43.07228916,50.1176219,45.18755005
31/10/2015,53.17460317,48.26328973,55.64516129,51.11312831,39.51612903,53.96825397,50.73789295,52.38095238,49.23629868,73.80952381,47.58064516,45.41742936,51.58730159,53.22580645,51.59754224,48.9536078
30/09/2015,51.49253731,47.64219791,55.97014925,52.91173711,35.82089552,53.73134328,51.7828157,54.47761194,47.67341294,77.6119403,50.74626866,49.15684867,52.23880597,49.25373134,51.49253731,49.83340247
31/08/2015,49.18032787,50.88724647,50.81967213,52.99506426,36.06557377,52.5,52.70744807,50,49.31140789,76.27118644,45.08196721,44.80236092,49.15254237,52.45901639,49.51639344,50.14070552
31/07/2015,46.32352941,49.65629189,44.02985075,48.79051218,34.32835821,52.94117647,55.44104144,50,50.88085672,75,44.02985075,45.96803454,47.05882353,63.23529412,47.46488147,50.14734735
30/06/2015,45.13888889,50.31093703,46.47887324,51.16723279,34.50704225,50.69444444,53.31990644,50.69444444,49.4817744,77.08333333,43.66197183,47.3783308,45.77464789,61.97183099,47.05594679,50.33163629
31/05/2015,49.30555556,48.73477699,50.69444444,51.10315113,32.63888889,55.55555556,55.11518161,47.22222222,52.42051513,73.23943662,46.52777778,45.95178241,50.69444444,61.80555556,50.97222222,50.66508145
30/04/2015,39.51612903,43.58074372,40.32258065,44.21375972,32.25806452,54.03225806,55.12253162,46.03174603,52.56374658,69.04761905,42.74193548,44.91203517,49.20634921,56.34920635,46.11623144,48.07856336
31/03/2015,47.61904762,45.72752508,50.6097561,48.73034311,40.85365854,52.97619048,51.57043867,50.5952381,50.83390682,67.85714286,46.34146341,45.87103555,54.16666667,60.84337349,49.3902439,48.54664985
28/02/2015,48.17073171,45.88487699,51.85185185,48.05419448,34.14634146,53.65853659,53.66880733,50.6097561,49.65092463,60.36585366,45.73170732,44.72278576,50,64.375,49.76061427,48.39631784
31/01/2015,48.75,58.84964424,48.125,53.6061079,30.37974684,55.625,59.05558855,49.375,50.97441433,61.875,41.875,44.65270405,57.5,66.875,49,53.42769181
31/12/2014,49.34210526,49.66475879,52,52.55608883,41.44736842,53.94736842,55.92654323,44.66666667,52.85814453,63.15789474,46.71052632,46.40354661,58.55263158,62.66666667,51.46666667,51.4818164
30/11/2014,64.66666667,53.90033641,62.66666667,54.11055135,48,62.5,57.45203672,46.71052632,51.75541614,67.76315789,52.63157895,47.96833795,59.86842105,50.65789474,59.15087719,53.03733571
31/10/2014,54.54545455,49.56671592,55.19480519,50.26049595,39.61038961,58.55263158,55.17816967,48.7012987,52.30307819,75.97402597,49.34210526,46.60727998,53.28947368,60.38961039,53.78673958,50.78314794
30/09/2014,55.84415584,51.47139319,52.63157895,49.37407773,37.01298701,53.8961039,51.60680309,48.7012987,52.84569987,78.57142857,48.68421053,47.19229529,50.64935065,55.26315789,52.4709501,50.49805383
31/08/2014,46.02272727,47.91219951,48.86363636,49.76894084,37.5,51.70454545,51.50022942,46.02272727,53.29881087,77.27272727,44.25287356,44.17312345,46.59090909,56.32183908,48.96421108,49.33066082
31/07/2014,35.54216867,38.96124293,39.75903614,44.68038863,37.34939759,42.07317073,44.67287437,42.77108434,58.23023786,76.5060241,41.46341463,43.65673783,38.55421687,55.42168675,43.21334117,46.04029632
30/06/2014,36.04651163,40.01639889,40.11627907,44.24018068,35.46511628,52.3255814,56.12757727,48.25581395,52.11822033,73.8372093,44.76744186,48.85627725,38.95348837,58.33333333,45,48.27173088
31/05/2014,42.26190476,41.81516532,44.04761905,44.89428614,32.73809524,49.4047619,49.48337793,48.80952381,51.42755621,70.83333333,38.0952381,37.61424105,44.04761905,59.63855422,45,45.04692533
30/04/2014,45.78313253,50.29432553,42.1686747,46.00346129,40.96385542,51.2195122,52.00725417,45.78313253,53.00470734,79.26829268,43.37349398,45.88253043,43.97590361,54.21686747,47.35233617,49.43845575
31/03/2014,53.20512821,50.6225538,48.07692308,46.46550683,44.87179487,55.19480519,53.71091077,48.71794872,52.68604253,93.03797468,51.89873418,51.9049713,51.92307692,54.48717949,51.93152839,51.07799705
28/02/2014,50.70422535,48.43769711,52.11267606,48.92292625,45.77464789,59.15492958,59.51070262,47.18309859,53.25808505,95.07042254,51.4084507,49.57249717,49.28571429,55.71428571,53.23943662,51.94038164
31/01/2014,38.76404494,47.18551509,44.94382022,50.03496685,38.76404494,48.87640449,52.26703789,49.43820225,51.25710425,89.3258427,48.31460674,51.31449412,48.29545455,61.36363636,46.29213483,50.41182364
31/12/2013,51.80722892,51.40430975,52.40963855,52.56260121,37.34939759,48.79518072,49.33713073,43.37349398,53.87172129,80.12048193,46.98795181,46.42945973,46.95121951,57.92682927,51.3253012,50.72104454
30/11/2013,61.93181818,52.1962523,60.22727273,51.93592802,43.18181818,59.65909091,53.99819602,44.88636364,53.22227564,77.84090909,53.97727273,48.97391792,55.74712644,59.77011494,58.18181818,52.06531398
31/10/2013,58.79120879,53.14918929,57.14285714,51.87098498,41.75824176,56.04395604,52.99317401,50.54945055,49.89325348,80.76923077,52.1978022,49.0236708,54.94505495,62.22222222,54.72527473,51.38605451
30/09/2013,50.58823529,46.25923518,52.35294118,49.01565625,36.47058824,55.88235294,53.12752437,47.05882353,53.98226314,82.73809524,49.41176471,48.07293503,55.29411765,51.76470588,52.23529412,50.09152279
31/08/2013,56.32911392,58.20409439,55.76923077,56.05681335,37.82051282,57.59493671,57.02652006,44.93670886,54.54222863,87.17948718,49.36708861,49.64208745,54.43037975,55.84415584,54.82473223,55.09434877
31/07/2013,46.98795181,52.19704011,48.19277108,54.44085078,34.93975904,48.19277108,51.88949192,49.39759036,52.08867654,87.95180723,45.18072289,47.7809136,42.77108434,53.01204819,47.8313253,51.67939459
30/06/2013,47.72727273,52.79094604,49.43181818,54.61482311,33.52272727,47.72727273,52.24125635,47.72727273,52.80725515,82.18390805,41.47727273,45.70323193,40.34090909,52.84090909,47.72727273,51.63150251
31/05/2013,50,49.73961927,50,51.42219497,37.64705882,52.35294118,52.91358412,49.41176471,51.15612121,82.35294118,46.47058824,46.00187778,50.58823529,54.11764706,49.88235294,50.24667947
30/04/2013,48,52.61617433,50.66666667,54.47702751,38.51351351,44.66666667,45.32242256,45.33333333,53.84053953,78,41.33333333,43.59414336,47.97297297,51.33333333,47.86666667,49.97006146
31/03/2013,49.25373134,47.06690449,52.23880597,51.13603726,40.625,55.3030303,53.99666256,49.25373134,51.97598359,87.31343284,43.28358209,43.39518331,53.03030303,47.01492537,50.16508367,49.51415424
28/02/2013,52.66666667,50.77123846,56.08108108,53.37281835,36.30136986,55.40540541,55.93078188,48,52.55002012,86,48,45.85323668,54.72972973,56.75675676,52.83063063,51.6956191
31/01/2013,39.86486486,48.9766047,44.59459459,49.8695325,30.55555556,50.67567568,54.92028629,49.33333333,51.524477,82,41.21621622,43.35757111,43.33333333,58.21917808,45.4036036,49.72969432
31/12/2012,50,48.93771817,47.46835443,47.1639197,34.61538462,52.53164557,51.63358556,43.03797468,54.28318293,79.74683544,46.83544304,45.9938592,51.89873418,55.12820513,50.75949367,49.60245311
30/11/2012,53.57142857,45.60901481,55.95238095,48.22476519,39.28571429,56.54761905,50.49294424,43.45238095,54.3076542,79.51807229,54.76190476,49.94796655,50.5952381,52.40963855,55.47619048,49.716469
31/10/2012,50,44.61877018,52.97619048,47.52578294,43.52941176,53.57142857,50.65672362,46.47058824,53.36281127,77.05882353,51.76470588,48.48483686,52.94117647,57.05882353,52.36834734,48.92978497
30/09/2012,50,45.47768007,52.74725275,49.2504914,40.2173913,54.83870968,51.27288582,49.46236559,51.13527542,75.82417582,47.82608696,46.83729998,51.07526882,55.49450549,51.18993676,48.79472654
31/08/2012,48.86363636,49.96262593,47.09302326,47.22956568,37.93103448,52.84090909,51.98901758,48.29545455,51.73879884,70.93023256,48.85057471,49.53065063,51.70454545,52.87356322,49.87053778,50.09013173
31/07/2012,46.56862745,51.83041259,45.5,51.53728773,40.0990099,49.01960784,53.67795588,50.98039216,50.90148391,62.74509804,45.54455446,48.11726173,48.52941176,53.96039604,47.13047952,51.21288037
30/06/2012,43.75,48.16925992,43.61702128,47.96289226,36.84210526,46.875,52.27703688,48.94736842,51.56709959,65.10416667,43.68421053,48.2539384,46.31578947,57.44680851,45.79577268,49.64604541
31/05/2012,54.3956044,54.55740154,50,51.51467884,43.33333333,56.59340659,57.87546611,50.54945055,50.15605493,73.62637363,50.55555556,50.37179361,52.74725275,58.98876404,52.1990232,52.89507901
30/04/2012,51.5625,56.49613128,50.52083333,53.94974117,42.1875,53.64583333,54.93835679,51.03092784,48.189832,71.05263158,46.875,49.17887494,48.96907216,56.25,50.31464777,52.55058724
31/03/2012,58.01886792,56.00434381,56.60377358,56.25455855,41.42857143,55.60747664,54.7967963,50.46728972,50.62227071,72.89719626,47.64150943,47.63419624,49.52830189,62.38095238,53.48086757,53.06243312
29/02/2012,60.19417476,58.82373152,57.35294118,55.6539421,43.62745098,51.47058824,51.67248986,50,50.47988756,75.72815534,49.02912621,46.67558985,51.94174757,66.17647059,53.60936608,52.66112818
31/01/2012,43.08510638,53.23990029,48.93617021,55.30703843,39.36170213,45.21276596,49.45377155,42.55319149,58.1187035,81.38297872,44.68085106,46.6512851,49.46808511,65.05376344,47.87234043,52.55413977
31/12/2011,53.7037037,52.05151107,53.08641975,51.91805569,40.625,56.79012346,54.32143468,44.44444444,53.31587419,83.33333333,48.14814815,46.8420131,45.625,61.25,53.45679012,51.68977775
30/11/2011,61.60714286,52.50081307,60.71428571,52.28709903,45.98214286,63.06306306,55.93137093,43.75,54.12831549,82.14285714,49.10714286,45.26664939,53.125,55,58.1483269,52.02284958
31/10/2011,59.80392157,52.95018328,61.76470588,54.76711419,49.01960784,55.88235294,52.70330806,45.09803922,54.05175631,82.17821782,48.51485149,45.51862892,55.39215686,62.37623762,56.17355853,51.99819815
30/09/2011,59.67741935,54.25736799,57.44680851,53.19998529,45.69892473,62.3655914,57.45538074,45.74468085,54.56125311,73.93617021,45.21276596,44.41810419,54.30107527,60.75268817,55.79158087,52.77841826
31/08/2011,47.08333333,47.71792779,46.72131148,47.00349891,38.13559322,54.54545455,53.51268928,49.17355372,51.42268258,75.20661157,42.21311475,43.08363767,44.95798319,53.71900826,48.27793208,48.54808725
31/07/2011,35.13513514,38.84280308,45.27027027,51.03204568,43.24324324,45.89041096,50.64013681,48.64864865,53.28378513,75,38.35616438,40.35090397,45.83333333,59.45945946,43.20066642,46.82993493
30/06/2011,51.94805195,57.00962855,53.94736842,58.91023569,40.25974026,50.64935065,57.16409567,49.35064935,50.8664205,75.97402597,44.80519481,49.35167585,52.5974026,64.28571429,50.39986329,54.66041125
31/05/2011,54.9382716,55.61301106,58.02469136,59.79897504,43.75,51.85185185,53.42677754,49.38271605,51.05970034,80,46.25,46.39904215,56.79012346,66.66666667,52.33641975,53.25950123
30/04/2011,51.25,55.7419138,54.375,57.92210632,39.24050633,56.875,58.89995827,48.75,50.74641748,82.91139241,46.25,48.23577242,53.75,58.125,52,54.30923366
